-----------------------------------
IP Address	MAC Address
-----------------------------------
192.168.1.1	18:b1:69:5f:ff:b8
192.168.0.2	18:b1:69:5f:ff:b8
192.168.1.10	08:94:ef:fc:ec:da
192.168.1.11	7c:8a:e1:d7:6b:64
192.168.1.12	24:0f:9b:14:5b:4e
192.168.1.13	24:28:fd:ac:61:f7
192.168.1.14	24:28:fd:ac:61:f6
192.168.1.15	24:28:fd:ac:61:ee
192.168.1.16	24:28:fd:ac:61:e6
192.168.1.17	24:28:fd:ac:61:d7
192.168.1.18	24:28:fd:ac:60:cc
192.168.1.19	24:28:fd:ac:61:ed
192.168.1.25	00:00:c0:3f:ca:8c
192.168.1.46	00:1a:4d:0c:27:ec
192.168.1.51	64:00:6a:4b:6c:c9
192.168.1.52	64:00:6a:0a:91:65
192.168.1.54	64:00:6a:4b:6c:4b
192.168.1.60	c4:34:6b:6f:44:89
192.168.1.63	64:00:6a:22:26:7e
192.168.1.66	88:51:fb:82:07:7b
192.168.1.67	f4:8e:38:8a:35:82
192.168.1.71	f4:8e:38:8a:33:7e
192.168.1.105	2c:41:38:16:ce:00
192.168.1.112	08:00:23:57:10:fc
192.168.1.110	bc:c3:42:05:19:1d
192.168.1.111	bc:c3:42:05:19:1e
192.168.1.119	f0:9f:fc:60:f1:5a
192.168.1.113	08:00:23:57:10:fd
192.168.1.27	50:49:b0:c8:f0:53
192.168.1.125	c4:34:6b:6d:5a:3a
192.168.1.144	7c:5a:1c:21:4e:08
192.168.1.146	c4:34:6b:6f:eb:b9
192.168.1.152	c4:34:6b:70:66:52
192.168.1.122	14:50:51:3f:c1:c6
192.168.1.30	dc:21:48:03:56:1f
192.168.1.162	c4:34:6b:6d:5a:12
192.168.1.76	1c:4d:70:44:9b:16
192.168.1.127	f4:8c:50:00:f8:3e
192.168.1.103	3c:f8:62:8e:0c:5b
192.168.1.123	a4:34:d9:f9:c9:f5
192.168.1.134	a4:34:d9:f3:93:0f
192.168.1.139	14:ab:c5:7d:12:89
192.168.1.150	6c:88:14:7f:52:14
192.168.1.155	12:13:92:9b:05:53
192.168.1.130	e8:2a:ea:1f:8d:a3
192.168.1.138	e8:2a:ea:18:a5:d8
192.168.1.141	ec:63:d7:44:dc:a2
192.168.1.100	0c:9a:3c:ff:d1:74
192.168.1.124	e8:b1:fc:27:84:09
192.168.1.163	e4:b3:18:d0:69:0c
192.168.1.126	00:45:e2:5f:8c:ba
192.168.1.164	94:65:9c:90:ea:ac
192.168.1.168	64:00:6a:0b:9c:dc
192.168.1.170	7c:5a:1c:21:50:d8
192.168.1.175	00:22:4d:48:ce:d3
192.168.1.174	c4:34:6b:6f:4d:12
192.168.1.176	18:03:73:14:fe:51
192.168.1.180	4c:cc:6a:1f:4d:86
192.168.1.183	18:03:73:51:82:93
192.168.1.184	78:84:3c:9c:01:81
192.168.1.189	44:37:e6:2b:f3:11
192.168.1.187	7c:5a:1c:21:4e:80
192.168.1.205	64:00:6a:07:77:c6
192.168.1.231	c4:34:6b:6e:d6:5c
192.168.1.252	64:00:6a:40:83:5b
192.168.1.244	50:7b:9d:e1:5c:47
192.168.1.181	44:85:00:fa:6e:f0
192.168.1.185	7a:4d:c7:5c:1c:4f
192.168.1.186	7c:76:35:e1:e6:a5
192.168.1.210	34:f3:9a:05:81:51
192.168.1.212	64:80:99:99:37:84
192.168.1.223	34:f3:9a:05:81:56
192.168.1.240	00:45:e2:5d:02:c7
192.168.1.172	f0:d5:bf:cc:bf:d7
192.168.1.177	f4:8c:50:39:4d:dd
192.168.1.179	18:5e:0f:e8:3b:c2
192.168.1.191	8c:70:5a:9e:13:ec
192.168.1.192	9a:c4:ed:53:c7:3b
192.168.1.198	6c:88:14:7e:83:30
192.168.1.166	e8:b1:fc:35:8a:bd
192.168.1.195	e8:b1:fc:a9:e4:b2
192.168.1.213	d4:1a:3f:fa:e9:a5
192.168.1.211	d4:25:8b:ce:c2:e6
192.168.1.225	10:02:b5:b4:88:31
192.168.1.199	e8:2a:ea:9a:45:93
192.168.1.226	5c:e0:c5:bb:ca:b0
192.168.1.229	4c:34:88:52:e9:91
192.168.1.228	f4:8c:50:3b:01:28
192.168.1.233	60:67:20:eb:a6:94
192.168.1.221	e8:2a:ea:29:fd:65
192.168.1.247	36:d9:71:b8:8d:82
192.168.1.237	e4:b3:18:a1:e7:3f
192.168.1.235	f4:8c:50:3a:bd:80
192.168.1.241	a4:34:d9:b4:58:a7
192.168.1.182	32:e9:91:20:22:ed
192.168.1.242	f8:63:3f:25:48:a6
192.168.1.234	0c:9a:3c:9f:d7:42
192.168.1.248	f0:d5:bf:c1:ba:01
192.168.1.232	28:c6:3f:51:f5:e5
192.168.1.230	dc:21:48:4a:de:90
192.168.1.249	e0:9d:31:1c:c6:c8
192.168.1.250	32:cb:30:a9:88:f7
192.168.1.188	e8:b1:fc:27:7a:09
192.168.1.91	40:9f:38:5a:a7:31
